"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH","set"
"GO:0006680","glucosylceramide catabolic process",1.207801e-05,0.3377858,6,17.76273,0.0002145386,1.54509e-06,1.9789851369863e-05,2,1.111849,2,1.798806,0.000168152,1,0.3090403,0.607408037087087,"shared_mouse"
"GO:0010987","negative regulation of high-density lipoprotein particle clearance",4.034315e-06,0.1128277,2,17.72615,7.151285e-05,0.005905755,0.0280373471692642,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1901835","positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA",4.047912e-06,0.113208,2,17.6666,7.151285e-05,0.005944139,0.0281507885347323,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1904246","negative regulation of polynucleotide adenylyltransferase activity",4.047912e-06,0.113208,2,17.6666,7.151285e-05,0.005944139,0.0281507885347323,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0097510","base-excision repair, AP site formation via deaminated base removal",6.09963e-06,0.1705883,3,17.5862,0.0001072693,0.0007283348,0.00468496438918919,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0048243","norepinephrine secretion",1.441339e-05,0.4030993,7,17.36545,0.000250295,2.412247e-07,3.72801809090909e-06,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1905636","positive regulation of RNA polymerase II regulatory region sequence-specific DNA binding",8.255218e-06,0.2308737,4,17.32549,0.0001430257,9.846986e-05,0.000810673249937107,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0032919","spermine acetylation",4.141962e-06,0.1158382,2,17.26546,7.151285e-05,0.006212764,0.0292135463757184,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0032920","putrescine acetylation",4.141962e-06,0.1158382,2,17.26546,7.151285e-05,0.006212764,0.0292135463757184,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0046204","nor-spermidine metabolic process",4.141962e-06,0.1158382,2,17.26546,7.151285e-05,0.006212764,0.0292135463757184,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0075713","establishment of integrated proviral latency",6.33532e-06,0.1771799,3,16.93194,0.0001072693,0.0008120795,0.00513284435296958,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0019358","nicotinate nucleotide salvage",4.250364e-06,0.1188699,2,16.82511,7.151285e-05,0.006529139,0.0305019377266238,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0030472","mitotic spindle organization in nucleus",2.348635e-05,0.6568428,11,16.74678,0.0003933207,1.346602e-10,3.69539207127883e-09,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0015862","uridine transport",8.572116e-06,0.2397364,4,16.68499,0.0001430257,0.0001136808,0.000920261788009889,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0035934","corticosterone secretion",1.073375e-05,0.3001907,5,16.65608,0.0001787821,1.58278e-05,0.000159865665123457,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1900210","positive regulation of cardiolipin metabolic process",8.654456e-06,0.2420392,4,16.52625,0.0001430257,0.0001178965,0.000948534225568531,2,1.111849,2,1.798806,0.000168152,1,0.3090403,0.607408037087087,"shared_mouse"
"GO:0002439","chronic inflammatory response to antigenic stimulus",4.369721e-06,0.122208,2,16.36554,7.151285e-05,0.006885799,0.0318949429971691,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0061048","negative regulation of branching involved in lung morphogenesis",4.369721e-06,0.122208,2,16.36554,7.151285e-05,0.006885799,0.0318949429971691,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1904999","positive regulation of leukocyte adhesion to arterial endothelial cell",4.369721e-06,0.122208,2,16.36554,7.151285e-05,0.006885799,0.0318949429971691,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0045716","positive regulation of low-density lipoprotein particle receptor biosynthetic process",1.756991e-05,0.4913777,8,16.28076,0.0002860514,5.448279e-08,9.66368185772358e-07,2,1.111849,2,1.798806,0.000168152,1,0.3090403,0.607408037087087,"shared_mouse"
"GO:0060785","regulation of apoptosis involved in tissue homeostasis",4.419956e-06,0.1236129,2,16.17954,7.151285e-05,0.007038503,0.0324873075705219,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1903119","protein localization to actin cytoskeleton",8.895435e-06,0.2487786,4,16.07855,0.0001430257,0.0001308847,0.0010402433047966,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1904372","positive regulation of protein localization to actin cortical patch",8.895435e-06,0.2487786,4,16.07855,0.0001430257,0.0001308847,0.0010402433047966,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1904109","positive regulation of cholesterol import",6.78895e-06,0.1898666,3,15.80057,0.0001072693,0.000989936,0.00604971850163322,2,1.111849,1,0.8994031,8.4076e-05,0.5,0.8028083,0.952225502627764,"shared_mouse"
"GO:1902251","negative regulation of erythrocyte apoptotic process",6.936634e-06,0.1939968,3,15.46417,0.0001072693,0.001052722,0.0063683696857671,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1903394","protein localization to kinetochore involved in kinetochore assembly",9.330934e-06,0.2609582,4,15.32812,0.0001430257,0.0001569373,0.00121413076654846,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0003247","post-embryonic cardiac muscle cell growth involved in heart morphogenesis",9.356996e-06,0.2616871,4,15.28543,0.0001430257,0.0001586063,0.00122342749970536,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0031940","positive regulation of chromatin silencing at telomere",9.356996e-06,0.2616871,4,15.28543,0.0001430257,0.0001586063,0.00122342749970536,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1905549","positive regulation of telomeric heterochromatin assembly",9.356996e-06,0.2616871,4,15.28543,0.0001430257,0.0001586063,0.00122342749970536,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0036164","cell-abiotic substrate adhesion",2.344027e-05,0.655554,10,15.25427,0.0003575643,2.226137e-09,5.04154555882353e-08,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1903755","positive regulation of SUMO transferase activity",1.209766e-05,0.3383351,5,14.77825,0.0001787821,2.789171e-05,0.000264951004281567,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0045221","negative regulation of FasL biosynthetic process",4.879251e-06,0.136458,2,14.65652,7.151285e-05,0.008504965,0.0382972108187134,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0019043","establishment of viral latency",1.953362e-05,0.5462968,8,14.64405,0.0002860514,1.211425e-07,2.00221631944444e-06,2,1.111849,2,1.798806,0.000168152,1,0.3090403,0.607408037087087,"shared_mouse"
"GO:1901805","beta-glucoside catabolic process",9.811758e-06,0.2744054,4,14.57697,0.0001430257,0.0001898385,0.00142979629746835,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1904457","positive regulation of neuronal action potential",9.811758e-06,0.2744054,4,14.57697,0.0001430257,0.0001898385,0.00142979629746835,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0021919","BMP signaling pathway involved in spinal cord dorsal/ventral patterning",4.913622e-06,0.1374193,2,14.554,7.151285e-05,0.008619751,0.0387208444028826,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0002943","tRNA dihydrouridine synthesis",2.704928e-05,0.7564873,11,14.54089,0.0003933207,5.814537e-10,1.46088847082534e-08,4,2.223697,4,1.798806,0.000336304,1,0.09549162,0.298602937625179,"shared_mouse"
"GO:0032889","regulation of vacuole fusion, non-autophagic",9.888055e-06,0.2765392,4,14.46449,0.0001430257,0.0001954817,0.0014655529513173,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0015759","beta-glucoside transport",5.027313e-06,0.1405989,2,14.22487,7.151285e-05,0.009004368,0.0401591744872232,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0060621","negative regulation of cholesterol import",5.027313e-06,0.1405989,2,14.22487,7.151285e-05,0.009004368,0.0401591744872232,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0060695","negative regulation of cholesterol transporter activity",5.027313e-06,0.1405989,2,14.22487,7.151285e-05,0.009004368,0.0401591744872232,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0034087","establishment of mitotic sister chromatid cohesion",1.261285e-05,0.3527436,5,14.1746,0.0001787821,3.395203e-05,0.000314269807985866,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:2000719","negative regulation of maintenance of mitotic sister chromatid cohesion, centromeric",5.106632e-06,0.1428172,2,14.00392,7.151285e-05,0.009277179,0.0411934440671642,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1903586","positive regulation of histone deubiquitination",1.53758e-05,0.4300149,6,13.95301,0.0002145386,6.080275e-06,6.83182830472103e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0006117","acetaldehyde metabolic process",1.798388e-05,0.5029552,7,13.91774,0.000250295,1.041243e-06,1.39222378651685e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0031001","response to brefeldin A",1.555483e-05,0.4350219,6,13.79241,0.0002145386,6.489939e-06,7.23006821361702e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0019050","suppression by virus of host apoptotic process",4.486017e-05,1.254604,17,13.55009,0.0006078593,4.056195e-14,1.66443863793103e-12,2,1.111849,2,1.798806,0.000168152,1,0.3090403,0.607408037087087,"shared_mouse"
"GO:2000326","negative regulation of ligand-dependent nuclear receptor transcription coactivator activity",1.31983e-05,0.3691169,5,13.54584,0.0001787821,4.202593e-05,0.000379392706,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0046814","coreceptor-mediated virion attachment to host cell",1.855384e-05,0.5188953,7,13.4902,0.000250295,1.277598e-06,1.65745865411298e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0038101","sequestering of nodal from receptor via nodal binding",1.866904e-05,0.5221172,7,13.40695,0.000250295,1.330445e-06,1.72090168478261e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:2000003","positive regulation of DNA damage checkpoint",2.178137e-05,0.6091596,8,13.13285,0.0002860514,2.73916e-07,4.1887388317757e-06,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0090108","positive regulation of high-density lipoprotein particle assembly",5.450347e-06,0.1524299,2,13.12079,7.151285e-05,0.01050139,0.0455885291114058,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0090340","positive regulation of secretion of lysosomal enzymes",5.450347e-06,0.1524299,2,13.12079,7.151285e-05,0.01050139,0.0455885291114058,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1904245","regulation of polynucleotide adenylyltransferase activity",1.67737e-05,0.46911,6,12.79018,0.0002145386,9.913827e-06,0.000105334411875,3,1.667773,3,1.798806,0.000252228,1,0.1717902,0.428004133612486,"shared_mouse"
"GO:2000176","positive regulation of pro-T cell differentiation",1.407648e-05,0.3936768,5,12.70077,0.0001787821,5.683202e-05,0.000494964166200932,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1904401","cellular response to Thyroid stimulating hormone",1.98898e-05,0.5562581,7,12.58409,0.000250295,2.012268e-06,2.51581548424069e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0002536","respiratory burst involved in inflammatory response",8.534723e-06,0.2386906,3,12.56857,0.0001072693,0.001896879,0.0106980379620853,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0090187","positive regulation of pancreatic juice secretion",1.447194e-05,0.4047367,5,12.35371,0.0001787821,6.468358e-05,0.000554964188990826,2,1.111849,2,1.798806,0.000168152,1,0.3090403,0.607408037087087,"shared_mouse"
"GO:1904828","positive regulation of hydrogen sulfide biosynthetic process",2.607744e-05,0.7293077,9,12.34047,0.0003218078,8.353692e-08,1.43128047486911e-06,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0000455","enzyme-directed rRNA pseudouridine synthesis",1.16259e-05,0.3251415,4,12.30234,0.0001430257,0.0003594664,0.00253524524568966,2,1.111849,2,1.798806,0.000168152,1,0.3090403,0.607408037087087,"shared_mouse"
"GO:0001300","chronological cell aging",2.367558e-05,0.662135,8,12.08213,0.0002860514,5.093862e-07,7.32314518002195e-06,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1905222","atrioventricular canal morphogenesis",2.367558e-05,0.662135,8,12.08213,0.0002860514,5.093862e-07,7.32314518002195e-06,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0010021","amylopectin biosynthetic process",8.913943e-06,0.2492962,3,12.03388,0.0001072693,0.002144222,0.0118579915420363,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0098974","postsynaptic actin cytoskeleton organization",2.08133e-05,0.5820856,7,12.02572,0.000250295,2.70351e-06,3.27767782222222e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0019661","glucose catabolic process to lactate via pyruvate",2.084012e-05,0.5828356,7,12.01025,0.000250295,2.726214e-06,3.2951192299169e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0070625","zymogen granule exocytosis",9.02159e-06,0.2523068,3,11.89029,0.0001072693,0.002217898,0.0121677639647946,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1902278","positive regulation of pancreatic amylase secretion",9.02159e-06,0.2523068,3,11.89029,0.0001072693,0.002217898,0.0121677639647946,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0097039","protein linear polyubiquitination",2.706553e-05,0.7569416,9,11.88995,0.0003218078,1.138993e-07,1.89205816878173e-06,3,1.667773,3,1.798806,0.000252228,1,0.1717902,0.428004133612486,"shared_mouse"
"GO:1904716","positive regulation of chaperone-mediated autophagy",9.301095e-06,0.2601237,3,11.53297,0.0001072693,0.002416473,0.0130806546382803,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1903673","mitotic cleavage furrow formation",1.243608e-05,0.3477999,4,11.50086,0.0001430257,0.0004622815,0.00315334280093799,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1904695","positive regulation of vascular smooth muscle contraction",1.243608e-05,0.3477999,4,11.50086,0.0001430257,0.0004622815,0.00315334280093799,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0046967","cytosol to ER transport",1.866413e-05,0.5219798,6,11.4947,0.0002145386,1.798952e-05,0.000179483854268293,2,1.111849,2,1.798806,0.000168152,1,0.3090403,0.607408037087087,"shared_mouse"
"GO:0000917","barrier septum assembly",2.81386e-05,0.7869522,9,11.43653,0.0003218078,1.573458e-07,2.50566486861314e-06,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0043128","positive regulation of 1-phosphatidylinositol 4-kinase activity",2.198382e-05,0.6148216,7,11.38542,0.000250295,3.854205e-06,4.49256842831701e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:2000256","positive regulation of male germ cell proliferation",1.887527e-05,0.5278848,6,11.36612,0.0002145386,1.914943e-05,0.000189611224432678,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
